Year,Cause Name,State,Deaths
2014,Influenza and pneumonia,Washington,729
2007,Kidney disease,Idaho,134
2006,Kidney disease,Idaho,130
2016,Kidney disease,New Hampshire,161
2008,Kidney disease,Oregon,397
2014,Kidney disease,Rhode Island,135
2001,Kidney disease,Rhode Island,118
2013,Kidney disease,Wyoming,56
2010,Suicide,Connecticut,353
2016,Suicide,Maryland,586
1999,Alzheimer's disease,District of Columbia,53
2004,Alzheimer's disease,New York,1989
2015,Influenza and pneumonia,Arizona,775
2012,Influenza and pneumonia,Arizona,683
2013,Influenza and pneumonia,Florida,2662
2012,Kidney disease,Alaska,44
2011,Kidney disease,Colorado,450
2016,Kidney disease,Nebraska,220
2007,Suicide,Hawaii,133
2002,Suicide,Hawaii,120
2012,Suicide,Maryland,583
2004,Suicide,Nebraska,166
2000,Suicide,Ohio,1088
2012,Suicide,Rhode Island,105
2016,Influenza and pneumonia,Colorado,533
2014,Influenza and pneumonia,Florida,2719
2010,Kidney disease,Colorado,426
1999,Kidney disease,Colorado,312
2001,Kidney disease,Hawaii,123
1999,Kidney disease,Montana,92
2002,Suicide,California,3228
1999,Suicide,California,3077
2001,Suicide,Minnesota,480
2005,Alzheimer's disease,New York,2065
2010,Influenza and pneumonia,Minnesota,595
2011,Kidney disease,Idaho,154
2015,Kidney disease,Minnesota,639
2014,Kidney disease,Montana,125
2011,Kidney disease,Nebraska,214
2013,Kidney disease,New York,2285
2011,Kidney disease,New York,2197
2012,Kidney disease,Rhode Island,135
2004,Suicide,California,3368
2005,Suicide,Delaware,83
2008,Suicide,Hawaii,133
1999,Suicide,Ohio,1102
2001,Alzheimer's disease,Hawaii,122
2014,Influenza and pneumonia,Minnesota,638
2007,Kidney disease,Montana,110
2012,Kidney disease,Nebraska,217
2016,Kidney disease,New York,2385
2012,Kidney disease,New York,2240
2015,Kidney disease,Rhode Island,142
2014,Suicide,Connecticut,379
2011,Suicide,Connecticut,370
2012,Suicide,Illinois,1292
2000,Suicide,Iowa,289
2014,Suicide,Maryland,606
2003,Suicide,Minnesota,497
2002,Suicide,Minnesota,497
2009,Influenza and pneumonia,Florida,2410
2012,Influenza and pneumonia,Vermont,81
2007,Influenza and pneumonia,Vermont,70
2012,Influenza and pneumonia,Washington,728
2015,Kidney disease,District of Columbia,65
2003,Kidney disease,Montana,101
2016,Kidney disease,Rhode Island,141
2004,Kidney disease,Rhode Island,131
2000,Kidney disease,Rhode Island,123
2004,Kidney disease,South Dakota,92
2000,Kidney disease,Wyoming,45
2007,Suicide,California,3602
2003,Suicide,California,3397
2015,Suicide,Connecticut,384
2012,Suicide,Connecticut,368
2013,Suicide,Illinois,1321
2000,Suicide,Michigan,974
1999,Suicide,Michigan,974
2004,Suicide,New Hampshire,133
2008,Suicide,Rhode Island,110
2000,Alzheimer's disease,Hawaii,118
2012,Influenza and pneumonia,Alaska,52
2014,Influenza and pneumonia,Arizona,779
2011,Influenza and pneumonia,Arizona,690
2015,Influenza and pneumonia,Vermont,85
2016,Influenza and pneumonia,Washington,815
2016,Kidney disease,Alaska,53
2015,Kidney disease,Alaska,50
2011,Kidney disease,District of Columbia,60
2004,Kidney disease,Florida,2252
2013,Kidney disease,Nebraska,222
2000,Kidney disease,Vermont,62
2016,Kidney disease,Wyoming,66
2012,Suicide,California,3893
2003,Suicide,Maine,137
2009,Suicide,Ohio,1176
2013,Influenza and pneumonia,Washington,768
2011,Influenza and pneumonia,Washington,734
2014,Kidney disease,Alaska,45
2013,Kidney disease,Alaska,49
2001,Kidney disease,Florida,2172
1999,Kidney disease,New Mexico,162
2009,Kidney disease,South Dakota,102
2016,Suicide,Connecticut,397
2007,Suicide,Nebraska,181
2014,Suicide,Rhode Island,113
2008,Influenza and pneumonia,Vermont,74
2016,Kidney disease,Florida,3144
2003,Kidney disease,Florida,2265
2002,Kidney disease,Florida,2201
2013,Kidney disease,Minnesota,653
2014,Kidney disease,New Hampshire,167
2012,Kidney disease,New Hampshire,161
2007,Kidney disease,Oregon,426
2000,Kidney disease,Tennessee,565
2013,Suicide,California,4025
2009,Suicide,California,3823
2003,Suicide,Hawaii,131
2001,Suicide,Iowa,304
2003,Suicide,Michigan,1029
2004,Suicide,Minnesota,524
2003,Suicide,Nebraska,176
2001,Suicide,Pennsylvania,1276
2000,Suicide,Texas,2053
1999,Suicide,Texas,2005
2008,Alzheimer's disease,New York,2303
2009,Influenza and pneumonia,Minnesota,618
2009,Kidney disease,Colorado,447
2002,Kidney disease,Hawaii,136
2016,Kidney disease,Idaho,190
2013,Kidney disease,Montana,130
2005,Kidney disease,Montana,109
2004,Kidney disease,Montana,108
2001,Kidney disease,New Mexico,172
1999,Kidney disease,Texas,1669
2005,Kidney disease,Utah,177
2015,Suicide,California,4167
2010,Suicide,California,3913
2008,Suicide,California,3775
2006,Suicide,Delaware,91
2006,Suicide,Georgia,923
2015,Suicide,Illinois,1363
1999,Suicide,Iowa,305
2003,Suicide,Louisiana,461
2002,Suicide,New Hampshire,132
2000,Suicide,New Hampshire,131
1999,Suicide,Pennsylvania,1284
2006,Suicide,Texas,2347
1999,Suicide,Vermont,63
2011,Alzheimer's disease,Hawaii,197
2013,Alzheimer's disease,New York,2556
2016,Influenza and pneumonia,Arizona,885
2013,Influenza and pneumonia,Arizona,776
2007,Influenza and pneumonia,Minnesota,603
2013,Influenza and pneumonia,Oregon,496
2003,Kidney disease,Arizona,563
2009,Kidney disease,District of Columbia,57
2014,Kidney disease,Minnesota,676
2013,Kidney disease,Rhode Island,149
2002,Kidney disease,Tennessee,586
2011,Suicide,California,3996
2000,Suicide,Delaware,82
2008,Suicide,Georgia,981
1999,Suicide,Indiana,628
2010,Suicide,Nebraska,193
2000,Suicide,North Dakota,68
2000,Suicide,United States,29350
2010,Alzheimer's disease,Hawaii,189
2009,Alzheimer's disease,New York,2396
2006,Influenza and pneumonia,Florida,2454
2005,Kidney disease,Alaska,38
2005,Kidney disease,Arizona,608
2005,Kidney disease,Florida,2416
2005,Kidney disease,Hawaii,150
2002,Kidney disease,Montana,105
2015,Kidney disease,Nevada,316
1999,Kidney disease,North Dakota,85
2016,Suicide,California,4294
2014,Suicide,California,4214
2014,Suicide,Illinois,1398
2001,Suicide,Michigan,1051
2005,Suicide,Minnesota,547
2000,Suicide,Mississippi,294
2011,Suicide,Nebraska,193
1999,Suicide,Nebraska,177
1999,Suicide,South Carolina,418
2007,Suicide,Texas,2433
1999,Suicide,United States,29199
2012,Influenza and pneumonia,Minnesota,674
2012,Influenza and pneumonia,New Jersey,1131
2009,Influenza and pneumonia,Washington,728
2014,Kidney disease,Florida,3076
2012,Kidney disease,Florida,2912
2007,Suicide,Delaware,95
2005,Suicide,Georgia,924
2006,Suicide,Minnesota,554
2008,Suicide,Nebraska,191
2001,Suicide,Ohio,1219
2003,Suicide,Pennsylvania,1340
2014,Alzheimer's disease,New York,2639
2016,Influenza and pneumonia,Delaware,132
2011,Influenza and pneumonia,Minnesota,680
2016,Influenza and pneumonia,New Jersey,1208
2015,Influenza and pneumonia,Washington,851
2009,Kidney disease,Utah,212
2000,Suicide,Georgia,847
2016,Suicide,Illinois,1415
2007,Suicide,Iowa,322
2002,Suicide,Iowa,314
2000,Suicide,Louisiana,468
2002,Suicide,Pennsylvania,1341
2004,Suicide,Texas,2300
2001,Suicide,United States,30622
2011,Alzheimer's disease,New York,2563
2000,Kidney disease,Colorado,357
2015,Kidney disease,Florida,3203
2015,Kidney disease,Hawaii,202
2012,Kidney disease,Minnesota,669
2007,Kidney disease,New Hampshire,149
1999,Kidney disease,South Dakota,97
2008,Kidney disease,Wyoming,56
2009,Suicide,Minnesota,584
2007,Suicide,Minnesota,572
2006,Suicide,Pennsylvania,1396
2000,Suicide,Pennsylvania,1356
2009,Suicide,Rhode Island,118
2002,Suicide,South Carolina,440
2008,Suicide,Texas,2552
2003,Suicide,United States,31484
2000,Suicide,Virginia,768
2002,Alzheimer's disease,Hawaii,141
2012,Alzheimer's disease,New York,2640
2015,Influenza and pneumonia,Minnesota,738
2006,Influenza and pneumonia,Vermont,77
2007,Suicide,Georgia,997
2001,Suicide,Hawaii,136
2001,Suicide,Kansas,293
2009,Suicide,Louisiana,490
2004,Suicide,Michigan,1098
2005,Suicide,Nebraska,187
2001,Suicide,Nebraska,187
2005,Suicide,Texas,2418
2001,Suicide,Texas,2225
2005,Suicide,United States,32637
2004,Suicide,Virginia,828
2003,Suicide,Virginia,808
2002,Suicide,Virginia,799
2000,Suicide,Wisconsin,590
2012,Influenza and pneumonia,Colorado,525
2006,Influenza and pneumonia,Minnesota,630
2010,Influenza and pneumonia,New Jersey,1128
2016,Influenza and pneumonia,Rhode Island,165
2007,Kidney disease,Colorado,444
2013,Kidney disease,New Hampshire,175
2010,Kidney disease,New York,2439
2014,Kidney disease,North Dakota,104
2011,Kidney disease,Utah,228
2008,Kidney disease,Utah,212
2011,Suicide,Delaware,105
2004,Suicide,Delaware,93
1999,Suicide,Delaware,86
2005,Suicide,Louisiana,505
2006,Suicide,Maine,158
2005,Suicide,Michigan,1108
1999,Suicide,Mississippi,304
1999,Suicide,North Carolina,884
2006,Suicide,United States,33300
2004,Suicide,United States,32439
2002,Suicide,United States,31655
2001,Suicide,Virginia,797
2016,Influenza and pneumonia,Montana,147
2016,Influenza and pneumonia,Texas,2860
2007,Kidney disease,Alaska,40
1999,Kidney disease,Arizona,544
2004,Kidney disease,Colorado,406
2013,Kidney disease,Florida,3130
1999,Kidney disease,Hawaii,133
2009,Kidney disease,New York,2426
2008,Kidney disease,New York,2394
2002,Suicide,Georgia,909
1999,Suicide,Hawaii,136
2007,Suicide,Michigan,1131
2002,Suicide,Michigan,1106
2004,Suicide,North Dakota,73
1999,Suicide,North Dakota,73
2007,Suicide,Ohio,1295
2007,Suicide,Pennsylvania,1441
2005,Suicide,Pennsylvania,1430
2004,Suicide,Pennsylvania,1410
2000,Suicide,South Carolina,443
2003,Suicide,Texas,2363
2002,Suicide,Texas,2311
2007,Suicide,Virginia,880
2006,Suicide,Virginia,876
1999,Suicide,Wisconsin,593
2007,Influenza and pneumonia,Oregon,477
2012,Influenza and pneumonia,Rhode Island,161
2004,Kidney disease,Arizona,634
2006,Kidney disease,Florida,2620
2016,Kidney disease,Hawaii,215
2012,Kidney disease,Hawaii,199
2015,Kidney disease,Nebraska,264
2007,Kidney disease,New York,2387
2006,Kidney disease,New York,2351
2002,Kidney disease,Rhode Island,142
2001,Kidney disease,South Dakota,103
2001,Kidney disease,Tennessee,624
1999,Suicide,Georgia,873
2000,Suicide,Hawaii,137
2006,Suicide,Iowa,334
2005,Suicide,Iowa,333
1999,Suicide,Kansas,299
2002,Suicide,Louisiana,499
2001,Suicide,Louisiana,493
2006,Suicide,Michigan,1139
2010,Suicide,Minnesota,606
2008,Suicide,Minnesota,596
2006,Suicide,Nebraska,202
2007,Suicide,New Hampshire,158
2006,Suicide,New Hampshire,151
1999,Suicide,New Hampshire,137
2003,Suicide,North Carolina,955
2002,Suicide,Ohio,1287
2016,Suicide,Rhode Island,126
2015,Suicide,Rhode Island,127
2005,Suicide,Virginia,866
1999,Suicide,Virginia,791
2010,Alzheimer's disease,New York,2616
2012,Influenza and pneumonia,Delaware,121
2016,Influenza and pneumonia,Idaho,207
2014,Influenza and pneumonia,Idaho,200
2012,Influenza and pneumonia,Idaho,189
2014,Influenza and pneumonia,New Jersey,1234
2013,Kidney disease,Hawaii,209
2012,Kidney disease,Maryland,704
2016,Kidney disease,Montana,155
2010,Kidney disease,Montana,133
2009,Kidney disease,Montana,129
2011,Kidney disease,New Hampshire,172
2014,Kidney disease,New Mexico,267
2016,Kidney disease,North Dakota,106
2000,Kidney disease,Utah,170
2010,Suicide,Delaware,106
2004,Suicide,Georgia,973
2004,Suicide,Indiana,704
2000,Suicide,Indiana,683
2000,Suicide,Nebraska,193
2006,Suicide,Ohio,1325
2004,Suicide,South Carolina,482
2007,Suicide,United States,34598
2002,Suicide,Wisconsin,627
1999,Alzheimer's disease,Connecticut,449
2014,Diabetes,Nevada,350
2010,Influenza and pneumonia,Arizona,768
2007,Influenza and pneumonia,Washington,743
2001,Kidney disease,Colorado,391
2011,Kidney disease,Florida,3012
2015,Kidney disease,Maine,211
2013,Kidney disease,Maryland,737
2011,Kidney disease,Minnesota,696
2015,Kidney disease,New Hampshire,194
2009,Kidney disease,New Hampshire,165
2001,Kidney disease,New Hampshire,136
2005,Kidney disease,New York,2360
2000,Kidney disease,Texas,1870
2003,Suicide,Alabama,521
2001,Suicide,Alabama,512
2003,Suicide,Delaware,94
2001,Suicide,Georgia,935
2006,Suicide,Mississippi,325
2004,Suicide,Ohio,1319
2001,Suicide,South Carolina,467
2001,Suicide,Vermont,72
2016,Influenza and pneumonia,District of Columbia,78
2014,Influenza and pneumonia,District of Columbia,74
2014,Influenza and pneumonia,New Hampshire,194
2008,Kidney disease,Colorado,483
2003,Kidney disease,Colorado,409
2011,Kidney disease,Hawaii,201
2014,Kidney disease,Maryland,751
2003,Kidney disease,Maryland,583
2014,Kidney disease,Nebraska,265
2010,Kidney disease,North Dakota,104
2003,Kidney disease,Rhode Island,149
2001,Kidney disease,Utah,178
2005,Suicide,Alabama,535
2002,Suicide,Alabama,514
2016,Suicide,Delaware,119
2004,Suicide,Iowa,343
2006,Suicide,Louisiana,492
2009,Suicide,Michigan,1169
2005,Suicide,North Carolina,1009
2005,Suicide,Ohio,1341
2003,Suicide,South Carolina,476
2011,Suicide,Texas,2896
2016,Influenza and pneumonia,Iowa,504
2012,Influenza and pneumonia,Maine,205
2013,Influenza and pneumonia,Minnesota,751
2008,Influenza and pneumonia,Washington,771
2000,Kidney disease,Alaska,30
2002,Kidney disease,New Hampshire,141
2004,Kidney disease,New York,2383
2006,Kidney disease,Utah,210
2006,Kidney disease,Wyoming,58
2003,Suicide,Georgia,972
1999,Suicide,Kentucky,470
2013,Suicide,Nebraska,220
2007,Suicide,North Carolina,1077
2007,Suicide,South Carolina,530
2009,Suicide,Texas,2809
2008,Suicide,United States,36035
2005,Suicide,Wisconsin,643
2003,Suicide,Wisconsin,647
2016,Influenza and pneumonia,Connecticut,572
2009,Influenza and pneumonia,Oregon,507
2014,Influenza and pneumonia,Rhode Island,176
2007,Kidney disease,Hawaii,176
2014,Kidney disease,Maine,223
2016,Kidney disease,New Mexico,293
2004,Kidney disease,Tennessee,680
2002,Kidney disease,Utah,184
2001,Kidney disease,Wyoming,54
2004,Suicide,Alabama,541
2009,Suicide,Delaware,107
2012,Suicide,Georgia,1168
2011,Suicide,Georgia,1157
2010,Suicide,Georgia,1133
2001,Suicide,Indiana,715
2001,Suicide,Mississippi,328
2015,Suicide,Nebraska,223
2013,Suicide,Texas,3059
2010,Suicide,Virginia,963
2009,Suicide,Virginia,963
2001,Suicide,Wisconsin,639
2012,Influenza and pneumonia,Connecticut,558
2016,Influenza and pneumonia,New Hampshire,203
2014,Kidney disease,Hawaii,220
2004,Kidney disease,Hawaii,164
2008,Kidney disease,Idaho,173
2006,Kidney disease,New Hampshire,160
2008,Kidney disease,North Dakota,98
1999,Kidney disease,South Carolina,434
2011,Kidney disease,Tennessee,810
2003,Kidney disease,Tennessee,677
2013,Suicide,Hawaii,171
2000,Suicide,Maine,154
2008,Suicide,Michigan,1180
2003,Suicide,Missouri,679
2002,Suicide,Nebraska,201
2002,Suicide,North Carolina,986
2008,Suicide,Pennsylvania,1539
2006,Suicide,South Carolina,524
2005,Suicide,South Carolina,510
2010,Suicide,Texas,2891
2009,Suicide,United States,36909
2008,Suicide,Virginia,948
1999,Alzheimer's disease,Alaska,24
2003,Alzheimer's disease,Hawaii,161
2010,Influenza and pneumonia,Nebraska,266
2016,Influenza and pneumonia,Wisconsin,888
2002,Kidney disease,Arizona,622
2002,Kidney disease,Colorado,417
2013,Kidney disease,Connecticut,565
2007,Kidney disease,District of Columbia,67
2011,Kidney disease,Maryland,713
2003,Kidney disease,New York,2415
1999,Kidney disease,Oklahoma,425
2005,Kidney disease,Rhode Island,156
1999,Kidney disease,Wisconsin,677
2003,Kidney disease,Wyoming,57
2008,Suicide,Delaware,109
2009,Suicide,Georgia,1134
2005,Suicide,Indiana,745
2003,Suicide,Indiana,736
2009,Suicide,Iowa,361
2003,Suicide,Iowa,352
2004,Suicide,Louisiana,537
1999,Suicide,Louisiana,518
2003,Suicide,Mississippi,336
2009,Suicide,New Hampshire,166
2004,Suicide,North Carolina,1027
2010,Suicide,Pennsylvania,1576
2012,Suicide,Texas,3037
2001,Suicide,Washington,712
2004,Suicide,Wisconsin,662
1999,Alzheimer's disease,New Jersey,1041
2013,Influenza and pneumonia,Colorado,606
2016,Influenza and pneumonia,Maine,231
2008,Influenza and pneumonia,Oregon,517
2016,Influenza and pneumonia,South Carolina,690
2000,Kidney disease,Maine,175
1999,Kidney disease,Maryland,563
2006,Kidney disease,Montana,132
2000,Kidney disease,Montana,116
2003,Kidney disease,New Hampshire,150
2011,Kidney disease,New Mexico,268
1999,Kidney disease,New York,2302
